%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1457888162546161483,1.20820367336,1.3626550436,0.0,0.0,0.0,0.0,0.0
1457888162548087179,1.20797920227,1.36287307739,0.0,0.0,0.0,0.0,0.0
1457888162550123007,1.20412230492,1.35806024075,0.0,0.0,0.0,0.0,0.0
1457888162552097299,1.20246171951,1.35637199879,0.0,0.0,0.0,0.0,0.0
1457888162554106720,1.2017172575,1.35582280159,0.0,0.0,0.0,0.0,0.0
1457888162556145325,1.19729185104,1.35907161236,0.0,0.0,0.0,0.0,0.0
1457888162558127084,1.19463670254,1.36123728752,0.0,0.0,0.0,0.0,0.0
1457888162560123840,1.19302213192,1.36263537407,0.0,0.0,0.0,0.0,0.0
1457888162562150978,1.19203579426,1.36352050304,0.0,0.0,0.0,0.0,0.0
1457888162564153104,1.19143199921,1.3640743494,0.0,0.0,0.0,0.0,0.0
1457888162566153976,1.19106185436,1.36441838741,0.0,0.0,0.0,0.0,0.0
1457888162568241788,1.19083476067,1.36463105679,0.0,0.0,0.0,0.0,0.0
1457888162570145109,1.19069552422,1.36476230621,0.0,0.0,0.0,0.0,0.0
1457888162572199093,1.19061005116,1.36484313011,0.0,0.0,0.0,0.0,0.0
1457888162574137512,1.19055759907,1.36489284039,0.0,0.0,0.0,0.0,0.0
1457888162576167947,1.18501722813,1.36948466301,0.0,0.0,0.0,0.0,0.0
1457888162578164800,1.18165516853,1.37239766121,0.0,0.0,0.0,0.0,0.0
1457888162580072294,1.1833564043,1.37913358212,0.0,0.0,0.0,0.0,0.0
1457888162582070008,1.18363535404,1.38205897808,0.0,0.0,0.0,0.0,0.0
1457888162584066266,1.18351435661,1.38339078426,0.0,0.0,0.0,0.0,0.0
1457888162586051900,1.1833281517,1.38403010368,0.0,0.0,0.0,0.0,0.0
1457888162588054846,1.18317103386,1.38435423374,0.0,0.0,0.0,0.0,0.0
1457888162590048970,1.18305826187,1.38452684879,0.0,0.0,0.0,0.0,0.0
1457888162592058285,1.18298280239,1.38462257385,0.0,0.0,0.0,0.0,0.0
1457888162594040202,1.182934165,1.38467741013,0.0,0.0,0.0,0.0,0.0
1457888162596044386,1.182903409,1.38470947742,0.0,0.0,0.0,0.0,0.0
1457888162598056715,1.17868721485,1.38816213608,0.0,0.0,0.0,0.0,0.0
1457888162600070872,1.17613089085,1.39033508301,0.0,0.0,0.0,0.0,0.0
1457888162602040744,1.17456948757,1.39168858528,0.0,0.0,0.0,0.0,0.0
1457888162604066514,1.17361569405,1.39252495766,0.0,0.0,0.0,0.0,0.0
1457888162606085105,1.17303347588,1.3930388689,0.0,0.0,0.0,0.0,0.0
1457888162608074699,1.17267847061,1.39335370064,0.0,0.0,0.0,0.0,0.0
1457888162610105638,1.17246210575,1.39354598522,0.0,0.0,0.0,0.0,0.0
1457888162612126518,1.18363809586,1.40836679935,0.0,0.0,0.0,0.0,0.0
1457888162614143999,1.18810033798,1.41388642788,0.0,0.0,0.0,0.0,0.0
1457888162616145452,1.18993937969,1.41588830948,0.0,0.0,0.0,0.0,0.0
1457888162618091180,1.18506884575,1.42114067078,0.0,0.0,0.0,0.0,0.0
1457888162620135499,1.18196856976,1.42424297333,0.0,0.0,0.0,0.0,0.0
1457888162622067730,1.18000674248,1.42610633373,0.0,0.0,0.0,0.0,0.0
1457888162624139692,1.17877793312,1.42723500729,0.0,0.0,0.0,0.0,0.0
1457888162626154366,1.1780141592,1.42792201042,0.0,0.0,0.0,0.0,0.0
1457888162628119354,1.177541852,1.42834115028,0.0,0.0,0.0,0.0,0.0
1457888162630104644,1.17725074291,1.42859745026,0.0,0.0,0.0,0.0,0.0
1457888162632082168,1.17707169056,1.42875421047,0.0,0.0,0.0,0.0,0.0
1457888162634143224,1.17696166039,1.42885017395,0.0,0.0,0.0,0.0,0.0
1457888162636070735,1.1740231514,1.43120026588,0.0,0.0,0.0,0.0,0.0
1457888162638084378,1.17223381996,1.43267011642,0.0,0.0,0.0,0.0,0.0
1457888162640137831,1.17113876343,1.43358266354,0.0,0.0,0.0,0.0,0.0
1457888162642138117,1.17796099186,1.44398128986,0.0,0.0,0.0,0.0,0.0
